 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Região/Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
".. Piauí";...;162,01;...;...;428,77;...;3043,18;1611,59;950,18;798,65;803,89;689,58;580,59;527,92;528,30;530,96;555,03;567,43;558,73;555,81;573,04;585,11;585,35;600,77;631,14;623,17;626,71;616,39;622,12;609,13;625,35;639,60;629,81;635,27;621,84;609,12;606,55;608,58;630,44;617,24;621,44;627,98;622,35;636,24;626,60;654,34;624,21;642,18;701,72;628,82;643,74;663,44;660,24;680,06;668,60;657,64;680,95;662,59;663,45;671,65;681,76;681,44;686,78;668,27;683,09;688,46;723,64;711,05;718,39;740,24;719,23;720,60;730,43;726,87;748,32;756,79;737,27;796,07;775,85;782,72;759,07;765,34;768,00;739,81;757,76;782,99;769,72;775,82;775,94;800,24;841,12;840,45;787,45;821,43;845,07;857,25;816,54;830,83;810,48;782,95;796,37;851,43;844,00;842,90;843,66;840,52;829,96;852,86;819,81;804,44;837,76;858,20;861,15;883,00;873,87;868,27;867,89;857,95;877,86;891,01;886,74;882,96;872,58;883,35;886,31;883,68;903,14;892,53;893,55;893,07;889,10;880,32;890,02;873,82;887,46;867,74;888,32;903,85;906,62;915,21;889,26;923,96;905,24;903,51;939,76;932,62;926,20;937,82;944,45;958,04;960,30;940,19;945,83;950,69;962,16;950,62;934,44;931,76;965,11;1045,49;1187,06;1374,56;1763,13;1487,07;1297,10;1236,44;1263,37;1289,01;1269,36;1230,88;1675,88;1306,57;799,30
".. Ceará";149,65;1593,17;...;...;...;...;739,74;860,35;1084,01;1213,45;1212,91;898,56;772,54;672,42;685,68;685,53;694,02;707,79;730,22;736,43;743,50;804,35;844,40;849,08;828,06;783,42;775,28;806,66;809,59;810,09;819,28;825,83;830,11;831,64;824,41;835,44;844,35;825,16;824,02;825,29;835,51;815,37;842,94;854,47;849,90;855,92;841,83;873,00;825,32;842,83;848,25;850,43;882,00;899,83;911,16;913,65;905,63;936,17;908,50;889,66;928,23;906,19;888,52;957,36;933,94;957,99;979,12;993,46;968,41;1012,46;982,29;1021,55;1020,25;1029,34;961,77;1004,28;1009,39;1005,79;1027,09;1069,07;1079,18;1070,31;1062,75;1076,60;1071,81;1061,88;1060,25;1047,20;1058,01;1096,08;1078,41;1072,09;1057,66;1070,17;1082,95;1126,91;1082,26;1138,35;1067,97;1048,39;1012,82;1090,21;1102,19;1154,76;1119,39;1147,17;1148,20;1165,32;1139,18;1066,94;1107,29;1071,42;1135,49;1171,63;1168,83;1187,43;1162,20;1142,81;1199,98;1204,29;1160,74;1135,08;1112,45;1131,45;1147,98;1214,45;1214,39;1199,07;1191,82;1208,09;1162,57;1200,43;1182,93;1145,76;1129,26;1144,68;1150,46;1125,20;1130,56;1169,64;1131,75;1168,24;1143,22;1150,44;1155,81;1132,07;1145,74;1151,73;1177,92;1171,46;1217,19;1173,71;1181,84;1185,44;1189,24;1179,65;1211,56;1196,29;1153,71;1454,66;1747,48;1645,55;1554,99;1480,57;1402,41;1399,78;1441,35;1468,80;1434,00;1500,00;1576,45;1196,15;1044,59
".. Rio Grande do Norte";...;474,94;...;...;...;1755,76;429,51;494,87;581,38;702,23;716,14;762,54;921,00;733,33;705,25;693,28;713,82;745,78;811,97;815,82;840,14;839,06;840,06;926,30;930,17;942,20;883,30;896,70;810,98;898,50;891,00;858,61;903,17;891,04;892,91;911,91;912,23;884,53;933,00;908,32;905,87;897,91;929,50;959,34;983,90;960,91;973,70;960,85;934,12;989,49;974,38;955,23;1019,73;1030,47;1037,48;1015,60;1045,67;1044,65;1035,04;1010,45;1070,71;1055,21;1038,20;1026,85;1065,72;1051,23;1098,17;1094,29;1009,12;1127,70;1141,54;1135,37;1165,70;1144,65;1066,27;1130,34;1084,72;1096,56;1152,30;1163,73;1175,19;1133,27;1137,28;1155,57;1130,20;1230,61;1161,89;1198,30;1231,63;1231,85;1323,08;1234,45;1221,43;1273,17;1302,21;1293,01;1307,37;1318,39;1304,83;1231,85;1294,83;1284,08;1341,70;1341,69;1353,98;1356,22;1350,04;1391,07;1367,67;1273,67;1259,99;1338,70;1423,48;1321,85;1307,33;1287,99;1176,72;1515,21;1364,68;1421,64;1429,31;1324,82;1283,47;1320,21;1338,50;1335,61;1389,19;1364,19;1404,20;1344,60;1391,23;1404,08;1395,89;1424,32;1360,68;1346,95;1379,66;1430,81;1400,11;1462,61;1373,19;1484,17;1438,90;1402,61;1453,83;1504,27;1451,68;1398,84;1435,34;1435,07;1405,46;1455,47;1509,95;1482,45;1419,24;1452,28;1544,59;1456,63;1474,85;1655,94;1889,59;1886,35;2151,82;1905,87;1780,68;1757,26;1745,17;2033,52;2034,12;2039,79;2040,26;1644,85;1222,04
".. Paraíba";1730,95;...;...;...;...;...;1463,38;909,84;1348,46;935,66;923,49;757,74;897,97;617,60;623,20;609,63;625,90;652,29;687,98;675,39;687,59;732,70;745,77;769,87;772,86;752,18;775,46;766,84;775,20;797,86;807,61;791,90;799,85;851,96;794,38;794,31;803,37;793,54;802,69;822,54;792,85;810,25;806,26;806,77;806,12;812,87;844,19;878,45;827,12;851,21;820,09;851,49;857,15;854,92;868,10;867,00;888,69;874,52;885,29;867,94;895,24;864,48;848,04;864,65;919,06;928,98;943,67;961,93;984,49;962,76;982,85;997,33;1001,36;1004,95;947,50;976,38;939,41;925,23;988,30;991,46;1021,32;999,00;1021,51;1037,49;1046,83;1041,90;999,75;1028,35;1005,28;1020,81;1025,50;996,88;995,17;1000,96;1034,26;1023,85;1060,09;1039,48;1035,06;1025,31;1043,18;1053,97;1087,50;1092,48;1089,01;1079,69;1084,80;1071,32;1075,74;1018,47;1049,06;1081,86;1120,18;1083,82;1087,07;1109,76;1116,62;1091,30;1110,41;1112,99;1105,66;1111,53;1158,97;1097,20;1108,76;1133,63;1169,51;1172,83;1206,96;1143,79;1212,21;1189,28;1191,68;1230,01;1150,28;1154,30;1170,78;1193,35;1185,69;1213,41;1184,71;1200,12;1238,04;1232,37;1257,66;1282,67;1182,54;1186,07;1183,99;1201,48;1236,58;1232,02;1223,49;1257,84;1251,55;1241,25;1251,65;1246,34;1263,91;1407,94;1656,75;1842,42;1696,04;1540,30;1418,30;1414,96;1399,60;1510,72;1581,22;1700,05;1965,17;1604,62;1011,94
".. Pernambuco";1951,87;1164,89;...;1865,88;...;20699,26;9199,66;1494,93;1111,69;954,90;899,79;725,08;1252,99;711,28;740,71;669,56;698,79;715,76;725,33;750,94;746,42;765,97;810,49;827,02;1489,31;860,89;813,36;824,27;818,08;844,63;839,51;864,88;850,83;860,36;830,49;852,26;1972,54;871,93;862,80;878,41;949,51;860,97;824,15;895,73;882,35;901,65;876,93;921,34;971,80;907,31;904,13;929,94;940,64;936,10;1005,37;984,72;944,41;968,24;982,62;966,05;1022,80;1000,97;966,22;976,28;1000,55;984,21;1030,04;1050,56;1030,23;1079,94;1069,34;1101,72;1158,53;1122,74;1150,18;1139,84;1163,54;1182,68;1206,71;1245,25;1272,69;1237,83;1260,47;1282,03;1297,36;1305,42;1276,44;1241,73;1278,67;1288,91;1289,63;1306,73;1351,85;1301,88;1288,07;1314,27;1356,60;1351,53;1311,17;1315,33;1354,44;1346,20;1341,78;1333,19;1330,56;1378,77;1318,06;1333,65;1372,93;1332,40;1336,73;1331,29;1339,84;1369,30;1344,55;1379,23;1360,50;1392,52;1438,18;1491,07;1427,22;1409,08;1367,67;1380,51;1397,71;1385,63;1411,32;1429,82;1418,13;1460,27;1402,09;1416,89;1458,08;1438,44;1392,44;1382,98;1421,18;1415,60;1441,84;1444,53;1399,21;1415,62;1438,33;1423,03;1449,63;1402,53;1372,65;1334,64;1384,99;1401,01;1414,62;1415,05;1430,44;1400,75;1429,46;1462,57;1454,60;1444,45;1433,43;1705,76;1880,90;1931,56;1815,77;1806,87;1751,65;1673,97;1734,55;1932,74;1957,11;1953,79;2098,42;1689,62;1230,92
".. Alagoas";...;...;...;...;...;...;1983,81;534,58;632,82;656,61;654,30;574,72;1117,33;603,36;615,72;597,52;574,33;641,57;635,10;632,27;630,38;663,07;691,14;699,54;715,73;716,53;735,42;748,50;727,81;760,24;737,82;805,39;794,75;779,13;796,57;800,30;785,57;783,63;774,30;773,61;777,98;803,42;766,16;804,62;809,50;825,34;827,25;825,24;806,93;833,26;838,81;824,94;852,22;846,02;831,74;861,49;823,87;839,83;840,74;848,03;883,53;856,74;886,61;879,48;901,90;883,09;886,24;913,12;887,75;959,59;934,41;931,82;944,83;979,60;985,76;996,01;969,44;1006,03;1008,21;1009,96;1052,05;1053,65;1025,54;981,93;1567,21;1017,28;1051,52;1018,23;1017,48;1032,98;1047,90;1039,14;1089,51;1086,11;1080,28;1070,41;1079,17;1087,03;1133,45;1072,19;1036,32;1075,36;1044,19;1043,62;1033,00;1050,50;1051,87;1072,56;1045,91;1036,75;1067,59;1012,35;1045,77;1049,90;1043,56;1065,22;1003,51;1082,65;1095,11;1086,56;1103,39;1088,84;1083,40;1095,40;1064,28;1037,47;1100,32;1087,63;1128,38;1104,34;1173,59;1125,49;1171,26;1122,02;1164,27;1176,35;1159,38;1166,58;1207,47;1187,36;1141,84;1211,04;1189,96;1152,05;1302,44;1237,74;1176,88;1157,63;1178,85;1201,21;1162,42;1141,72;1196,78;1199,99;1175,31;1253,68;1304,88;1216,23;1278,18;1475,56;1732,34;1809,17;1660,82;1486,85;1388,75;1323,53;1405,27;1430,39;1477,61;1458,18;1512,94;1138,62;1004,76
".. Sergipe";...;177,20;...;189,35;...;...;1709,98;1525,20;1354,57;640,38;895,73;700,84;623,07;571,11;547,68;540,76;575,62;579,86;566,86;553,45;581,18;589,70;658,69;646,49;686,90;715,77;728,26;708,40;705,33;756,75;761,62;766,85;769,22;753,02;805,37;792,49;876,53;861,64;808,68;811,90;854,43;818,46;847,47;885,90;869,60;873,34;851,18;870,84;890,17;873,89;858,32;892,76;856,26;853,51;893,88;882,52;842,02;862,39;814,32;913,35;947,07;914,84;879,65;877,59;914,41;955,28;899,66;915,96;961,87;935,95;928,93;981,45;1017,78;966,17;949,56;936,72;927,70;957,65;935,34;963,66;954,24;1013,41;934,02;960,88;998,65;932,97;944,56;971,30;958,37;963,20;947,76;931,68;1000,82;949,94;981,31;976,47;1054,60;1008,40;957,54;1013,25;974,62;998,34;1043,30;1042,54;1079,82;1033,72;1094,95;1014,77;1037,53;1149,30;1112,18;1052,52;1039,05;1110,90;1088,04;960,76;1129,30;1089,58;1046,09;1079,29;1123,47;1123,36;1033,62;1052,32;1014,83;1108,95;1108,18;1098,89;1136,79;1122,96;1059,26;1061,35;1194,35;1142,95;1179,12;1055,58;1053,48;1124,56;1079,93;1141,45;1166,98;1334,34;1175,42;1248,50;1310,50;1292,73;1167,10;1186,18;1237,04;1231,97;1265,39;1278,91;1199,43;1194,15;1193,11;1200,13;1216,82;1194,84;1168,17;1416,71;1518,79;1586,99;1653,71;1802,04;1625,81;1659,87;1595,33;1644,33;1530,13;1156,29;1527,64;1396,89;999,11
".. Bahia";4955,12;1572,09;...;...;...;832,03;3331,46;2502,71;1437,02;1271,42;1026,29;679,38;1117,95;552,66;555,40;535,18;559,28;580,87;759,39;575,77;575,36;610,26;639,06;674,66;650,63;646,67;636,74;655,84;664,87;694,39;683,31;701,83;676,25;678,31;666,39;693,22;681,04;668,89;666,96;666,91;682,20;692,15;705,75;692,37;689,05;697,56;702,90;718,64;719,75;725,52;702,63;721,92;730,93;734,95;771,14;823,17;776,99;786,66;751,49;761,84;786,79;770,49;770,31;781,34;792,60;792,73;796,60;801,03;791,63;815,72;859,08;921,06;856,04;837,93;844,38;868,54;871,90;856,19;897,43;902,03;908,72;915,89;905,32;920,15;928,25;930,71;893,70;917,37;909,12;892,13;922,10;913,42;912,97;925,43;920,96;935,81;923,45;920,03;922,60;913,92;924,52;946,88;942,56;965,36;947,16;944,48;991,16;945,48;1005,84;935,80;966,57;969,78;1002,48;1022,99;1030,59;1024,25;1026,75;1054,45;1060,74;1083,53;1071,91;1040,73;1028,04;1017,68;1035,92;1012,40;1030,35;1039,77;1038,03;1045,64;1044,41;1035,30;1032,27;1022,52;986,95;998,66;1003,99;1024,53;1043,90;1035,11;1024,41;1063,76;1069,09;1041,63;1033,44;1028,57;1014,90;1007,39;1019,22;1023,71;1061,47;1063,34;1061,44;1067,68;1062,48;1088,99;1101,28;1053,33;1116,92;1253,90;1342,99;1543,22;1642,75;1518,27;1313,57;1301,85;1362,15;1534,51;1491,25;1647,72;1522,08;1248,16;904,08
"Região Sudeste";2192,33;6091,45;25860,90;13190,61;7051,85;12161,61;5405,67;2031,87;1697,99;1530,79;1393,88;995,93;4381,24;941,72;847,27;842,65;862,37;887,39;893,62;896,82;895,24;941,39;1016,23;1031,42;1109,69;1008,07;1011,40;1046,96;1031,75;1071,65;1045,15;1041,58;1038,11;1059,42;1070,60;1053,83;1087,93;1038,95;1044,40;1127,07;1078,21;1100,92;1101,79;1132,93;1099,45;1150,76;1117,94;1097,66;1173,81;1140,93;1104,37;1104,94;1133,08;1154,31;1164,44;1156,10;1158,61;1163,28;1150,08;1136,35;1233,90;1144,63;1140,29;1141,57;1164,35;1174,44;1190,88;1201,84;1200,52;1272,36;1214,91;1213,05;1397,23;1231,53;1240,26;1237,58;1256,66;1264,08;1286,37;1280,65;1284,69;1334,27;1286,85;1283,30;1336,62;1300,63;1299,16;1265,84;1298,32;1312,93;1337,44;1318,07;1326,15;1316,19;1322,56;1313,30;1324,77;1306,55;1289,78;1282,50;1307,86;1331,80;1350,73;1355,25;1326,44;1342,98;1325,26;1328,16;1340,97;1306,95;1298,40;1287,24;1317,11;1332,99;1393,64;1359,20;1345,15;1359,91;1362,21;1376,34;1395,73;1365,07;1340,43;1337,55;1351,31;1345,01;1377,74;1399,43;1350,81;1386,75;1365,51;1375,03;1363,11;1364,78;1332,08;1342,49;1366,60;1364,23;1380,32;1383,12;1372,52;1401,74;1389,39;1394,59;1399,64;1375,26;1364,97;1349,69;1365,08;1369,83;1436,45;1414,07;1397,49;1401,36;1394,05;1418,49;1432,74;1383,94;1447,41;1684,15;1836,38;1883,52;1952,67;1876,71;1783,00;1696,52;1699,30;1836,51;1855,54;1822,99;2100,14;1727,38;1303,09
".. Minas Gerais";1578,42;279,48;...;...;19336,20;4138,78;2836,25;1805,57;1674,54;1371,20;1301,45;949,28;2225,76;812,65;817,81;796,42;819,38;849,44;865,08;859,90;863,36;912,73;948,29;1022,81;1093,31;985,69;993,77;988,67;1017,63;1037,25;1045,79;1042,22;1031,48;1059,71;1054,72;1067,27;1051,61;1033,47;1023,96;1054,81;1072,70;1085,75;1092,02;1087,22;1073,16;1080,00;1109,20;1089,46;1139,37;1131,02;1116,87;1110,51;1130,96;1151,03;1163,08;1153,37;1155,01;1186,71;1148,85;1171,96;1258,99;1181,09;1181,22;1164,58;1202,91;1194,62;1215,23;1223,09;1198,50;1215,75;1238,66;1242,89;1278,29;1237,48;1263,36;1255,65;1252,67;1272,67;1303,80;1294,76;1299,38;1315,06;1302,42;1330,57;1338,90;1328,26;1334,43;1321,04;1331,02;1333,32;1374,89;1338,61;1331,80;1371,74;1371,82;1370,62;1367,44;1406,23;1366,16;1376,30;1375,68;1404,48;1367,30;1406,91;1377,01;1387,37;1388,52;1387,92;1379,96;1351,66;1343,66;1337,73;1377,05;1392,04;1388,11;1421,43;1404,61;1448,12;1434,79;1442,67;1448,22;1462,12;1431,93;1418,34;1423,07;1423,07;1451,07;1482,94;1441,87;1454,79;1442,20;1440,14;1431,10;1438,03;1426,03;1415,35;1436,19;1456,27;1467,38;1482,80;1438,36;1463,11;1465,21;1476,11;1478,18;1459,83;1443,59;1425,91;1417,22;1456,82;1499,25;1495,84;1474,90;1513,60;1478,29;1509,59;1504,95;1440,53;1529,01;1655,82;1692,27;1832,21;1938,26;1978,43;1938,06;1828,42;1798,68;1908,97;1961,38;1939,31;2158,95;1808,68;1320,56
".. Espírito Santo";1421,50;361,71;...;554,69;...;...;1025,65;1472,00;1519,92;1176,83;905,87;741,28;1116,84;724,50;738,19;747,78;743,84;768,07;809,87;790,86;797,43;802,99;894,28;886,69;900,72;857,67;832,11;868,74;905,89;894,63;924,04;927,09;919,47;929,05;929,65;925,53;945,37;931,36;957,00;922,26;938,23;970,18;980,82;979,60;980,78;1004,66;989,10;932,36;942,28;949,69;959,00;927,14;946,77;982,27;1003,33;1043,88;984,59;1011,89;1006,67;959,77;1004,63;1014,05;983,36;990,05;1024,52;1036,21;1081,36;1053,25;1100,47;1021,02;1048,39;1095,05;1150,62;1170,88;1107,29;1073,82;1097,31;1135,51;1129,55;1156,08;1107,41;1116,06;1128,75;1144,54;1083,64;1123,38;1157,53;1100,75;1159,24;1170,11;1149,09;1169,19;1126,44;1174,39;1157,06;1149,60;1143,91;1187,24;1146,53;1123,26;1138,58;1138,72;1215,71;1168,51;1202,53;1239,99;1238,09;1244,69;1270,86;1222,16;1280,81;1235,64;1259,16;1257,41;1327,93;1287,11;1241,34;1269,08;1308,46;1324,73;1323,80;1293,49;1251,29;1253,69;1254,01;1262,59;1313,58;1253,06;1274,78;1299,92;1270,76;1278,77;1252,16;1246,86;1192,61;1229,13;1255,47;1241,41;1245,18;1256,70;1267,95;1265,98;1246,55;1283,80;1278,46;1269,99;1281,12;1250,04;1303,60;1275,23;1305,58;1356,44;1301,02;1356,01;1317,14;1259,71;1317,85;1298,58;1317,24;1538,95;1775,09;1934,87;2274,29;2036,20;1896,78;1853,60;1827,05;2027,85;1966,98;2008,55;2443,85;2391,32;1185,92
".. Rio de Janeiro";627,55;666,73;6135,21;3651,93;2320,00;4182,41;3079,03;1173,67;1140,65;937,88;969,45;774,27;4575,47;928,31;735,97;759,91;764,07;801,47;804,81;786,07;803,03;832,34;872,45;939,02;1201,49;885,76;906,26;914,06;904,69;1037,22;932,46;938,12;901,75;901,97;939,55;886,96;1008,66;901,24;890,21;1350,19;936,19;934,75;956,81;982,60;1003,31;975,04;948,95;984,34;1304,13;1135,06;965,18;957,05;970,70;981,00;1009,73;1021,07;1022,47;1044,17;1013,30;1005,38;1259,56;974,64;1033,81;1012,01;1038,15;1041,46;1067,52;1102,98;1063,90;1094,73;1113,40;1050,50;1951,31;1115,73;1085,04;1169,28;1157,96;1152,81;1117,93;1151,70;1129,31;1154,96;1111,40;1150,40;1256,70;1183,60;1192,71;1153,32;1136,94;1212,96;1172,37;1136,79;1140,51;1149,74;1160,56;1197,11;1180,64;1150,13;1126,91;1110,40;1175,88;1188,80;1248,97;1207,86;1195,48;1224,27;1179,34;1178,44;1215,23;1163,52;1171,70;1131,69;1162,62;1175,39;1554,72;1303,14;1240,79;1278,49;1244,81;1320,21;1312,33;1299,31;1255,76;1219,25;1245,92;1222,23;1254,69;1267,63;1279,63;1296,26;1288,58;1269,08;1231,00;1268,57;1224,13;1223,89;1288,30;1257,36;1272,57;1267,47;1258,59;1306,91;1312,50;1310,25;1312,41;1313,90;1255,27;1256,64;1272,16;1300,76;1376,61;1321,73;1324,59;1310,13;1285,56;1350,04;1344,34;1343,32;1375,83;1533,76;1794,66;1763,63;1755,10;1575,08;1444,29;1445,30;1481,31;1702,35;1710,56;1556,20;1774,20;1654,54;1193,29
".. São Paulo";3994,48;31429,70;45586,58;...;5171,41;23367,40;10221,63;2871,29;1925,39;1997,45;1679,32;1111,99;5670,58;1029,91;906,54;901,40;925,08;941,76;940,05;955,75;945,18;997,73;1100,50;1074,05;1109,42;1065,34;1065,51;1127,91;1086,05;1113,06;1087,81;1079,30;1088,31;1113,54;1127,57;1106,28;1140,40;1088,07;1104,95;1113,82;1134,03;1166,42;1158,94;1211,03;1148,91;1246,93;1180,16;1148,61;1172,79;1164,06;1149,22;1161,72;1197,96;1222,16;1221,86;1204,71;1212,63;1196,60;1200,21;1169,90;1234,77;1182,89;1163,27;1178,84;1192,36;1213,88;1221,37;1230,26;1246,35;1369,44;1244,75;1252,05;1325,53;1264,06;1282,08;1260,95;1299,97;1301,45;1338,52;1318,97;1335,28;1411,22;1339,82;1306,07;1380,48;1332,51;1321,13;1280,64;1336,32;1342,35;1382,34;1372,93;1394,36;1346,14;1357,55;1332,71;1361,65;1311,65;1309,97;1297,06;1327,90;1355,75;1386,59;1389,71;1349,58;1363,97;1342,92;1347,80;1364,31;1332,23;1312,18;1309,50;1334,91;1353,52;1358,46;1350,16;1353,14;1346,83;1362,57;1362,66;1399,07;1342,15;1326,94;1338,28;1354,27;1348,75;1382,59;1409,33;1332,63;1386,58;1357,68;1381,39;1378,26;1367,05;1329,92;1351,30;1365,73;1361,21;1380,60;1378,36;1382,06;1410,84;1386,87;1387,62;1397,45;1361,29;1365,12;1346,58;1371,17;1354,91;1435,09;1405,94;1389,32;1376,10;1390,00;1407,13;1433,23;1375,87;1440,35;1761,85;1930,06;1939,97;1986,69;1903,88;1797,07;1688,52;1700,51;1818,52;1834,20;1823,13;2136,85;1664,15;1336,00
"Região Sul";391,50;1812,04;74,94;...;5930,30;6636,44;2227,26;1381,84;1632,60;1418,04;1358,55;1025,49;1089,31;850,93;868,45;878,14;878,53;891,91;897,78;926,05;932,39;962,37;1009,54;1029,67;1041,79;1011,40;1013,80;1036,00;1039,99;1051,09;1053,97;1048,78;1067,05;1069,84;1068,03;1082,89;1094,67;1073,33;1072,21;1101,60;1105,96;1119,39;1118,67;1126,52;1115,01;1134,38;1164,92;1135,89;1156,75;1155,98;1145,83;1173,77;1198,34;1204,88;1209,99;1223,05;1214,94;1210,97;1190,07;1181,64;1206,86;1207,82;1191,13;1215,76;1213,08;1217,85;1231,48;1239,79;1251,77;1256,23;1267,97;1286,44;1322,36;1303,50;1300,44;1345,43;1360,49;1353,93;1354,60;1370,85;1375,07;1372,93;1374,31;1366,72;1370,23;1364,27;1380,48;1373,57;1375,02;1396,10;1403,69;1413,19;1408,04;1408,12;1417,22;1401,72;1413,48;1384,51;1406,58;1381,90;1427,11;1419,35;1430,25;1442,26;1449,79;1463,33;1473,98;1426,48;1446,32;1423,80;1436,74;1425,30;1460,88;1485,31;1515,79;1482,15;1477,18;1477,87;1479,29;1490,62;1507,66;1480,03;1482,00;1481,80;1475,75;1478,35;1515,37;1509,65;1494,61;1519,84;1495,78;1507,13;1544,77;1515,74;1506,41;1527,52;1548,37;1545,67;1526,79;1567,57;1561,27;1579,58;1577,62;1549,32;1569,92;1578,34;1562,31;1534,55;1541,62;1565,74;1589,93;1567,43;1584,43;1588,94;1595,89;1568,06;1590,57;1553,11;1582,68;1792,24;1872,27;1947,47;2156,87;2158,03;1974,39;1928,71;2038,56;2152,13;1981,66;2097,92;2261,33;1626,22;1374,84
".. Paraná";168,03;...;74,94;...;5930,30;4091,22;5522,54;858,82;1027,79;1053,32;1113,00;982,05;967,97;867,92;878,43;885,54;874,59;897,85;914,77;928,82;920,58;967,87;1030,58;1047,55;1039,97;1007,22;1000,11;1018,16;1044,23;1060,48;1044,43;1035,88;1043,64;1055,62;1060,72;1064,67;1089,03;1066,91;1053,41;1081,80;1089,23;1105,91;1104,23;1123,06;1113,51;1130,67;1172,62;1142,82;1165,88;1164,19;1154,72;1203,50;1233,12;1237,22;1251,32;1241,90;1239,71;1227,30;1202,72;1183,16;1228,02;1233,39;1201,17;1230,97;1236,72;1213,27;1260,08;1237,27;1283,33;1275,41;1302,85;1276,01;1330,30;1312,04;1310,31;1362,47;1366,97;1384,97;1381,87;1417,40;1411,70;1411,96;1363,71;1372,54;1416,63;1411,87;1414,69;1390,64;1406,51;1422,02;1444,36;1431,21;1412,36;1428,01;1445,98;1399,62;1437,23;1423,98;1442,63;1406,58;1472,06;1461,71;1467,68;1499,04;1498,21;1536,40;1564,43;1494,48;1497,93;1487,18;1497,20;1491,65;1525,30;1549,56;1560,12;1597,93;1567,45;1582,61;1601,24;1600,58;1620,23;1568,88;1606,24;1587,98;1601,52;1583,92;1648,67;1637,87;1582,76;1641,87;1602,12;1612,07;1653,82;1649,81;1616,24;1646,88;1688,69;1675,80;1681,63;1721,41;1691,11;1700,99;1680,08;1691,94;1711,90;1680,43;1661,80;1655,89;1665,73;1716,53;1734,71;1708,05;1714,39;1761,02;1757,20;1677,88;1697,47;1651,01;1697,21;1861,35;1989,53;2073,65;2186,22;2181,17;2013,30;1980,38;2081,32;2187,31;2064,65;2087,70;2345,87;1818,31;1424,64
